rank,motif_ID,motif_alt_ID,adj_p-value,cnt
162,MA0848.1,MA0848.1.FOXO4,1.27e-06,3
163,MA0656.1,MA0656.1.JDP2,1.67e-06,1
164,MA1641.1,MA1641.1.MYF5,1.93e-06,0
165,MA0649.1,MA0649.1.HEY2,2.18e-06,3
166,MA0605.2,MA0605.2.ATF3,2.24e-06,1
167,MA1418.1,MA1418.1.IRF3,2.35e-06,1
168,MA1129.1,MA1129.1.FOSL1::JUN,2.51e-06,3
169,MA1581.1,MA1581.1.ZBTB6,2.51e-06,3
170,MA1127.1,MA1127.1.FOSB::JUN,2.59e-06,3
171,MA0715.1,MA0715.1.PROP1,2.98e-06,2
172,MA1779.1,MA1779.1.TFAP4::ETV1,3.63e-06,3
173,MA1133.1,MA1133.1.JUN::JUNB,3.87e-06,3
174,MA0857.1,MA0857.1.Rarb,3.87e-06,3
175,MA0852.2,MA0852.2.FOXK1,4.05e-06,1
176,MA0488.1,MA0488.1.JUN,4.99e-06,3
177,MA0018.4,MA0018.4.CREB1,6.25e-06,3
178,MA1475.1,MA1475.1.CREB3L4,1.21e-05,3
179,MA0849.1,MA0849.1.FOXO6,1.26e-05,0
180,MA2047.1,MA2047.1.Nr1H2,1.51e-05,3
181,MA0507.2,MA0507.2.POU2F2,2.18e-05,1
182,MA0002.2,MA0002.2.Runx1,2.26e-05,2
183,MA0606.2,MA0606.2.Nfat5,2.45e-05,3
184,MA1567.2,MA1567.2.Tbx6,3.13e-05,1
185,MA0899.1,MA0899.1.HOXA10,3.49e-05,3
186,MA0789.1,MA0789.1.POU3F4,3.49e-05,1
187,MA0003.4,MA0003.4.TFAP2A,3.53e-05,3
188,MA1472.2,MA1472.2.Bhlha15,3.57e-05,0
189,MA1801.1,MA1801.1.FOXJ2::ELF1,3.87e-05,2
190,MA0820.1,MA0820.1.FIGLA,3.9e-05,3
191,MA1115.1,MA1115.1.POU5F1,3.95e-05,2
192,MA0042.2,MA0042.2.FOXI1,4.02e-05,2
193,MA0614.1,MA0614.1.Foxj2,4.68e-05,2
194,MA1783.1,MA1783.1.ERF::FOXI1,5.38e-05,2
195,MA0130.1,MA0130.1.ZNF354C,5.65e-05,3
196,MA1618.1,MA1618.1.Ptf1a,6.78e-05,0
197,MA1644.1,MA1644.1.NFYC,7.19e-05,2
